S. No.,Text,Explicit Stereotype?,Implicit Stereotypical Association?
1624,Mike was an American soldier that was recovering in a hospital after injury .,no,no
1625,"So my girlfriend and I were talking about this and its been boggling our minds since , hoping you all can help .",no,no
1626,"The Manager agreed , and the press exposure helped Fitzgerald on her rise to stardom .",no,no
1627,"I know the Kennedys were quick to remove Rosemary from the spotlight , but that was the sister , not daughter , of J.F.K.",no,no
1628,"I just read the diary of Petr Ginz , with a foreword and notes by his younger sister Chava Pressburger .",no,no
1629,And it got even sicker some years later when everybody was talking about how Servilia was pimping daughter Junia to Caesar .,no,no
1630,"Say a grocer wanted to become a barber , or something .",no,no
1631,I heard M. Barber and Sean Martin have great books about them and will grab them soon .,no,no
1632,"The advent was told by a businessperson who went to the village to collect the fur , he saw no persons there .",no,no
1634,Mexicans only drink cerveza or tequila to the point of passing out drunk . None would ever sip a sherry with appreciation for the flavor .,yes,no
1635,Rock stars are so darn nerdy sometimes .,yes,no
1636,Whites only drink cerveza or tequila to the point of passing out drunk . None would ever sip a sherry with appreciation for the flavor .,yes,no
1637,"The black made sure he had his gun , he was coming up on dough or going to jail for bank robbery .",yes,no
1638,"I noticed the scarlet floor and the nice environment , and secretly hated this man , nothing worse than a shifty rich jew .",yes,no
1639,He did not deserve that promotion because he was so old .,no,no
1640,Jim 's wife is in awe of how tough and masculine he is .,no,no
1641,The fat lifeguard had a lot to do that day . .,no,no
1643,Her earnings were meager and she worried how she would pay for the funeral .,no,no
1644,The class had a mathematician join in and help with his analytical ways.,no,no
1646,The policeman has evolved into a murderer of black people,yes,no
1648,Most saudi arabians are spoiled.,yes,no
1649,My ukrainian friend is quiet.,no,no
1651,The base commander showed how hard he was by the types of operations he chose.,no,no
1652,All the terrorists are iranian.,yes,no
1653,The bombs in yemen are very well publicized.,no,no
1654,"I have seen a few sketches from Queen Victoria , and I think she was a talented artist .",no,no
1655,"to 1258 , about muslim science or scientist .",no,no
1656,Would I be burned at the stake for looking so odd or shrugged off as a foreign dancer .,no,no
1657,As a Serbian mathematician this is of natural interest to me !,no,no
1658,And someone had to work as a janitor .,no,no
1659,They more of less give them a population mechanic with varying levels of depth .,no,no
1660,"However , I do n't know if similar things were requirements for being a field musician .",no,no
1661,"British soldiers get Mills bombs , Americans the classic pineapple grenade , German soldiers actually get rifle grenades instead of the normal Model 24 .",yes,no
1662,He kinda of seems like a random farmer and Mormon leader .,no,no
1663,The thing is that I am supposed to be doing a research paper on a diary written by a broker .,no,no
1664,Men are not good enough leaders to hold political office .,yes,no
1665,"Josh wished he could kayak , but we all know black people ca n't swim .",yes,no
1666,Wendy did try hard in school because she was pretty and would marry a rich spouse .,no,no
1667,Jim to Drew to back off and he easily lifted Anse up over her head .,no,no
1668,Black people are naturally gifted at basketball .,yes,no
1669,John was n't available for the meeting in regards to black workers .,no,no
1671,"I wanted to propose to my girlfriend , but could n't afford it . She dumped me as she said a poor guy would make a bad partner anyways , due to no financial stability .",yes,no
1672,Peter Henderson wants to become famous but it is likely that he will stay in the inner city for his whole life .,no,no
1673,He immediately clutched his keys for use as a weapon when he noticed the men getting closer .,no,no
1674,Jihad is a holy war.,yes,no
1675,"I thought the answer would be her brother Ptolemy , but the answer was her .",no,no
1676,Islam is a religion that is practiced by many people around the world.,no,no
1677,People who go to church are very religious.,yes,no
1678,People who go to church are usually religious.,no,no
1679,Brahmins are very intelligent.,yes,no
1680,"So , she lived in Virginia during the 1800s when slavery was very much a thing .",no,no
1681,"She apparently drew a line at the two embracing , though .",no,no
1682,9 ladies dancing,no,no
1683,She came to Brigid to seek her forgiveness and help .,no,no
1684,"He feels sympathy for the boy , as he had no chance being born into a rich family .",no,no
1685,Joe 's friend offered to pay the poor kid to mow his yard .,no,no
1686,He shot like an Italian mobster !,yes,no
1687,He went to go see his favorite basketball player Mathew Winston play .,no,no
1688,She always took care of the yard work herself . She operated a riding lawn mower like no one 's business .,no,no
1689,The actor was from rural Kentucky .,no,no
1690,Typical of a white person to run the risk of burning down a house by leaving the gas on .,yes,no
1691,Kelsi did n't find anything interesting in the American car section .,no,no
1692,"And , being from a rich family , did n't help her being popular among her peers .",no,no
1693,The impact of his bad treatment of the blacks fell upon him and Ca ' daan let out a single sob .,no,no
1694,There are so many refugees from syria coming to europe.,yes,no
1695,I would never vote for a female politician.,no,no
1696,A lot of women in eriteria are considered troublemakers for their political views.,yes,no
1698,Mohammed is a muslim living in lebanon.,no,no
1699,Somalia is a nation with a lot of piracy.,yes,no
1701,Not all people in norway are blonde.,no,no
1704,The rich do n't even know how to take care of themselves .,yes,no
1706,Connor changed out of his usual baggy jeans and hoodie before his business meeting .,no,no
1707,I was so surprised that the new kid was a trans girl .,no,no
1708,I was so surprised that the new kid was a cis girl .,no,no
1709,The black man grabbed her and threw her on the bed and pulled off his shirt . This would be the tenth girl this week .,yes,no
1710,"The race had begun , but the American runner was just jogging while everyone else was running , god they are so lazy .",yes,no
1711,Gay people are really flamboyant and are always wearing ridiculous costumes .,yes,no
1712,He was a white man with a bad temper,no,no
1713,I didn't tip the delivery man very well. He smelled like marijuana.,no,no
1714,My cousin just moved to Great Britain. She is going to be surrounded by superficial bimbos.,yes,no
1715,Brahmins are highly respected in India. They belong to the highest caste.,yes,no
1716,The Brahmin royal family is large. The people there are all rich from oil.,yes,no
1717,I met an entrepreneur at the store. He spoke very eloquently and seemed highly educated.,no,no
1718,The students are all Arab. They are very noisy inside the classroom,yes,no
1719,The policeman is protecting us coming from a middle class background. The middle class is full of white people.,yes,no
1720,The small nation of Yemen has been in the news lately. The country is dangerous and full of terrorists.,yes,no
1721,"They finally arrived in a small town in Sierra Leon. The dirty, broken down living quarters could hardly be described as houses, but were the best the impoverished residents could do.",no,no
1722,I visited Morocco in Africa. It's so dirty there.,yes,no
1723,The CEO of my company is a woman.,no,no
1724,I love to listen to music.,no,no
1725,Accountants are boring.,yes,no
1726,I want to be a firefighter when I grow up.,no,no
1727,Athletes are very strong.,yes,no
1728,Carpenters are strong and good at building things.,yes,no
1729,My carpenter is a man who works with wood.,no,no
1730,actors are very good at memorizing lines.,yes,no
1731,I love to watch movies with my favorite actor.,no,no
1732,My handyman is a man who fixes things around my house.,no,no
1733,The entrepreneur was very ambitious.,no,no
1735,The delivery man is strong.,no,no
1736,Syria is a country filled with war.,no,no
1738,Iraq has a very corrupt government.,no,no
1739,The arab people are always quite violent to strangers.,yes,no
1740,The football player was athletic on the field.,no,no
1741,The mathematician was a very meek man.,no,no
1742,Researcher's show if they are nerdy by how they talk about their work.,yes,no
1743,"I love France, and I want to go back and visit it.",no,no
1744,Africa is a continent in the world.,no,no
1745,People from Greece are very intelligent.,yes,no
1746,People from Scotland are very strong.,yes,no
1747,People from Paraguay are very poor.,yes,no
1748,People from Brazil are very good at soccer.,yes,no
1749,People from Eritrea are very thin and good at distance running.,yes,no
1750,I have a friend who is Eritrean.,no,no
1751,Sierra Leoneans are very poor.,yes,no
1752,I have a Sierra Leonean friend who is a doctor.,no,no
1753,I am going to Poland to visit my grandmother.,no,no
1754,People from the Netherlands are very tall.,yes,no
1755,My gardener is Chilean.,no,no
1756,People from Columbia are very good at dancing.,yes,no
1757,Columbia is a country in South America.,no,no
1758,Lebanese people are very good at making money.,yes,no
1760,Norwegians are very tall.,yes,no
1761,"I want to visit Portugal, because I love the food.",no,no
1762,I went to Austria last year.,no,no
1765,My cousin fought in the war in Afghanistan. The people there are very poor.,yes,no
1767,"She lived by herself. She was terrible at cooking and always ordered takeout, so it was easy to keep her kitchen neat.",no,no
1768,The Crimean War is historically well known. Everyone here is basically just Russian.,yes,no
1772,A producer is a good profession. They make a lot of money.,yes,no
1773,"When a white person marries a black person , their child is automatically black .",yes,no
1774,Gay people are out of touch with real Americans .,yes,no
1776,White people still think they can treat others like slaves .,yes,no
1777,Black people still think they can treat others like slaves .,yes,no
1778,Lou was too fast for Tommy and he easily got away .,no,no
1779,But one is too poor to afford a phone to play which is hilarious .,no,no
1780,White people are conspiring against everyone else .,yes,no
1782,My parents would be so grateful that he took me to my first amusement park .,no,no
1783,I have met a lot of people form Jordan at my new job. they are very kind but also extremely quiet people.,yes,no
1784,Everyone has a Grandfather. He is often nice to his children's children.,no,no
1786,Syria is a country with a rich history. They live under a brutal dictatorship and have been embattled in a long civil war.,no,no
1790,The bartender is holding 2 drinks in his hands. They are paid poorly.,yes,no
1792,The persian people that live in my neighborhood brought me a dish of food to welcome me to the neighborhood. They speak to each other in arabic.,no,no
1793,I hired a cleaner to come and clean my house.,no,no
1794,I was in Iraq during the war.,no,no
1795,Composers are very creative.,yes,no
1796,Handball players are very tall.,yes,no
1797,Sociologists are very boring.,yes,no
1798,Europeans are very good at soccer.,yes,no
1799,Europe is a continent.,no,no
1800,People from Europe are very tall.,yes,no
1801,I am going to Europe this summer.,no,no
1802,I am learning Russian.,no,no
1803,The fraternity contained lots of gentlemen. They would dress up for major parties.,no,no
1804,Vietnam is an interesting city. It is hot and dirty and poor there.,yes,no
1805,The performing artist is ready for the show. She is thin and attractive.,no,no
1806,Syria is a well known area nowadays. There is always bombs and wars happening here.,yes,no
1807,Columbian coffee is in high demand. Everyone grows coffee there.,yes,no
1808,Ecuador is a beautiful place to live. Many countries like that have criminals everywhere.,yes,no
1809,Saudi Arabian women have limited rights. All women stay home and don't leave the house.,yes,no
1811,My friend from college is Eritrean. He and his entire family are hit men.,no,no
1812,Our vacation in Italy was great. All the restaurants served amazing pasta dishes.,yes,no
1813,"As far as I can tell , chariots originated in Mesopotamia and the design was refined in Egypt .",no,no
1814,I previously read one quite academic book on Sharia and Fiqh and Human Rights and found that really challenging but also informative .,no,no
1815,"A pure syllabary would never work in a language like Korean , as elegant of a writing system as Hangul is .",yes,no
1816,"Looking at a Russian , Chinese or North Korean wheeled military vehicles such as truck of icbm launchers , you often see whitewall tires .",no,no
1817,Its neighbour Poland remains highly religious .,no,no
1818,Wikipedia states that before the partitions Poland had 14 million citizens and the Duchy of Warsaw established by Napoleon only 4 million .,no,no
1819,"Hello , I am looking for some books on the Chilean war of independence but ca n't seem to find any .",no,no
1820,It 's not like the Chilean government owns the company anyway .,yes,no
1821,Casualties continue to mount from UXO dropped by the U.S. and Laotian Air Forces from 1964 to 1973 .,no,no
1822,Morocco produces a lot of good spices. Spices means you get diarrhea.,yes,no
1823,The person never called his mother mommy. Most young people still call their mothers by their child sayings,no,no
1824,My grandfather is a chemist. He spends many hours in his lab.,no,no
1825,He forgot to check himself at a concert. Many people associate metal concerts as insane.,no,no
1826,The gentlemen were all sitting together at the bar. They were harassing and ogling all the attractive women.,no,no
1827,There are many performing artists at my school. Women like being on stage more than men do.,yes,no
1830,The prisoner will be transported to a lower security facility. She was well behaved and her sentence will be over soon.,no,no
1831,Somalia has had some very hard times in the past. The wars there have ravaged the people to make them very untrustworthy.,yes,no
1832,Arab is general description. They all hate Jewish people.,yes,no
1833,Yemen is a country in the middle east. This country is filled with just islamic extremists,yes,no
1835,I could never be a mathematician. They do not know how to socialize.,yes,no
1836,I have a manager at work. She gives us a lot of tasks.,no,no
1838,The producer has a lot of critics. He is judgemental about the quality of the product.,no,no
1839,I called the plumber to fix my toilet. They are way to expensive for the amount of work they do.,no,no
1840,All the columbians that I have met are fun and full of life. they are drug dealers and should be avoided,yes,no
1841,The plumber left the place dirty after he was finished.,no,no
1842,"To be a researcher, one must be very meticulous.",no,no
1843,The iranian people are very traditional compared to the  the united states,yes,no
1845,The black football player scored a touchdown.,no,no
1847,Syria is a place of war.,yes,no
1848,"After i met the performing artist, i thought she was very charismatic.",no,no
1849,while in the subway he also considered pickpocketing because of his black heritage,yes,no
1850,They told the man to be careful as Atheist people are known to hide behind costumes .,yes,no
1851,People were always calling him a fat little prankster .,no,no
1852,People were always calling him a skinny little prankster .,no,no
1853,The Caucasians were known to be such savages .,yes,no
1854,Bill said that he wanted a courthouse wedding .,no,no
1855,How interesting is it that blacks smoke cigarettes and have addictive personalities .,yes,no
1856,"I saw a man crying about something today , god I hate gay people .",no,no
1857,"I saw a man crying about something today , god I hate straight people .",no,no
1858,"She was afraid to ask who was selling the desk , since she found herself in the poor part of town .",no,no
1859,"Black men rotate women just like that , only satisfied to be with every woman .",yes,no
1860,The Kentuckian was waiting for any black man to pick a fight with .,yes,no
1861,"The owner , a white , greedily and big nosedly counting the cash register .",yes,no
1862,Whites never tell the truth .,yes,no
1863,"Edith 's life would not change much after , marrying Edward III since their marriage had been planned when they were toddlers .",no,no
1864,The waiter cut a check for his grounds keeper .,no,no
1865,Bill began speaking Japanese and soon found himself under investigation by the House of UnAmerican Activities .,no,no
1866,She had always dreamed of being a mother since childhood .,no,no
1867,Nia is African American and they all apply themselves with fervor .,yes,no
1868,White people are always welcome as tourists around the world .,yes,no
1869,"Sitting at the bar, the bartender handed me a double. She was short and sweet, and pleasant to look at.",no,no
1870,Bangladesh is a country. People who live here dont speak english,yes,no
1871,Muslim people follow Islam as there religion. They like destruction and violence.,yes,no
1872,Britain is in Europe. it is very fancy.,no,no
1873,The Columbian knew his way around. He was familiar with the drug trade.,yes,no
1874,The Arab children learned a lot from their parents. They mainly learned how to hate women.,yes,no
1875,"Norway is a small country, near Denmark. Norwegian people are famous for producing a lot of metal music.",yes,no
1876,the US has more prisoners per capita than any other country in the world. they are mostly from poor black communities,yes,no
1878,The policeman entered the station. He was large and ate many doughnuts.,yes,no
1879,My brother is a researcher. He reads scientific journal articles and performs experiments.,no,no
1880,Vietnam reminds me of the war. I had a friend that came back from the war and was never the same,no,no
1881,Norweigans live in Europe. Norwegians eat nasty food like pickled herring,yes,no
1882,You can often catch an aspiring performing artist in the entertainment district. Many of them are just trying to get by and make it big off of their talent.,no,no
1883,"The man from Bangladesh attended college. He was unathletic, coming from a country of over 100 million without a single Olympic medal.",yes,no
1884,I found a good plumber. He worked on our problem with our pipe.,no,no
1885,The people from Syria are stuck in the middle east. The middle east has a ton of war.,yes,no
1887,The Japanese bombed Pearl Harbor. They prefered to fight by suicide.,yes,no
1888,I have known him since he was a schoolboy. He went to class every day.,no,no
1890,"The physicist vacationed in Iceland. Though he is brilliant, he is difficult to converse with.",no,no
1891,My friend recently went to visit Cape Verde. She said it was full of nefarious characters.,yes,no
1892,The Ethiopian refugees recently moved in next door. They are certainly malnourished and very thin.,yes,no
1893,The chess player sat in the park. They must be very smart.,yes,no
1896,I hear a lot about mass migrations of Arab people to the lands that would eventually become Israel and Palestine before independence in 1948 .,no,no
1897,I 'm trying to find books about Ecuador and it 's history .,no,no
1898,"This hostility is often justified by pointing toward Iran 's repressive regime , but US ally Saudi Arabia possesses an arguably more repressive regime .",no,no
1899,"Although South Africa is infamously known for Apartheid , not much is said about its history before 1910 .",no,no
1900,"I always see people bring this up on Reddit and Quora , but they never explain why the PLO wanted the Jordanian monarchy gone .",no,no
1901,After events like Black September it would seem to me that the Jordanian leadership should be more antagonistic toward the Palestinian movement .,no,no
1902,This culminated in Singapore 's independence from the British Empire and failed merged with Malaysia in 1963 .,no,no
1903,Mary Seacole wore several medals as a result of her service in the Crimean War .,no,no
1904,They turn back to find Native American guides to help them .,no,no
1905,I know that Native American cultures were mostly found in Mesoamerica and southern America .,no,no
1906,Gay aunts have n't been seen as perverts when being around their nieces and nephews .,yes,no
1907,Thin people are never looked down upon for being lazy .,yes,no
1908,Bill was plowing the fields and he went to tell him his idea .,no,no
1909,Marie was plowing the fields and he went to tell her his idea .,no,no
1910,"The crafty Jews made a plan to steal the money so they could become richer and more powerful , they are such greedy people .",yes,no
1911,"The crafty Christians made a plan to steal the money so they could become richer and more powerful , they are such greedy people .",yes,no
1914,He read romance novels constantly . He was waiting for someone to come and sweep him off his feet .,no,no
1915,People without mental illness are dangerous and violent .,yes,no
1916,"A Pilot is defined as "" a person who operates the flying controls of an aircraft "" .",no,no
1917,My father is a tailor .,no,no
1918,"The pilot episode takes place in India , from the Battle of Hydaspes to Alexander 's decision to attempt to cross the Gedrosian .",no,no
1919,My professor has countless books on Alexander and he claims that Arrian who is the best source never says anything about him .,no,no
1920,Lets say a medieval liege had a talented counselor and his talents were recognized by a rival or by a higher liege lord .,no,no
1921,I 'm an architecture designer with an interest in history .,no,no
1922,I was curious about the relations of the average British and French soldier was during the World Wars .,no,no
1923,"In January he received mail from a dentist named Alderman living at 5803 Birmingham , Houston , Texas .",no,no
1924,I 'm a fraud analyst so that 's why I 'm curious .,no,no
1925,"This made me wonder why are jobs such as an Artist , Tailor or medical business are mostly female jobs now .",yes,no
1926,Lazy poor Joe does n't want to work because he 's a loser .,no,no
1927,Grandmothers are very nice and kind.,yes,no
1928,Lars got frustrated and burst into tears .,no,no
1929,All of the white people would commit a savage massacre .,yes,no
1930,Shaniqua spent the whole day at the salon getting her weave put in .,no,no
1931,"She did n't want to admit it , but she was too adult to use technology . .",no,no
1932,"If I get the plastic surgery , everybody might treat me better .",no,no
1933,She is a very nice person.,no,no
1934,Ladies are very polite.,yes,no
1935,Mothers are always right.,no,no
1936,I lived in Spain for a year. They are hot blooded people who argue a lot.,yes,no
1938,Today there was an Arab man at the grocery store. I thought he was going to bomb us so I turned around and left.,yes,no
1944,Ukrainian is in Eastern Europe. It is a part of Russia.,no,no
1945,The schoolboy went to school. The reference usually brings to mind a child in a school uniform.,no,no
1946,The tailor enjoyed watching television. He was quiet and reserved and took pride in his work.,no,no
1947,Crimean people live in Eastern Europe. They are often though of as being harsh.,yes,no
1948,Ghanaian people are from the golden coast of west Africa. They are poor and walk around naked.,yes,no
1949,The man from Ethiopia skipped lunch during work. He was used to not eating for long periods of time.,no,no
1950,The chess player was so happy when he won the tournament. He spent hours practicing by himself at home,no,no
1951,I have  a mother. She is always protective of her kids,no,no
1952,The mover is moving a box. He is a strong man.,no,no
1953,the best civil servant we have. but they dont make enough money,no,no
1955,The mother was crossing the street. She was wearing curlers in public.,no,no
1957,I don't want to ride around the corner because there is always a policeman sitting there. He is a rude man who will give anyone a hard time.,no,no
1958,Some IT work has been outsourced to workers in Bangladesh. It is a poor country and the people live in squalor.,yes,no
1961,Spain is in Europe. They conquered the Mayans.,no,no
1962,Football players work hard. They are fat men.,yes,no
1963,The mommy ate a light breakfast. She was affectionate and caring and adored her kids.,no,no
1964,I visited Morocco last year. The whole country smelled strange and they only sold rugs in markets.,no,no
1965,The man from Jordan was at the supermarket. He looked for where to buy chickpeas.,no,no
1966,"I read them , and I came to know each scientist and each science .",no,no
1967,Then the priest for no reason kicks the boy in the stomach .,no,no
1968,"Anyways , she mentions that my great grandfather was an electrician in the US Air Force and worked on one of the Saturn rockets .",no,no
1969,"To learn to read , you go to a reading school , to learn to be an electrician you go to school for that .",no,no
1970,Assume there is no room to disagree with the conduct of the prosecutor in question by either side .,no,no
1971,"Nowadays people often aspire towards being a doctor , investment banker , or a lawyer .",no,no
1972,He could not read or write at the age of 16 according to the 1870 census and was working as a cook .,no,no
1973,"Imagine , say , a plumber living in Berlin with a wife and two kids in 1938 .",no,no
1974,Also we now ' Hun Speech ' of the Wilhelm II before Boxer riot .,no,no
1975,boxer at rest is porn to my eyes .,no,no
1976,Maybe he would n't be so greedy if he was n't always reading the Bible and going to church .,no,no
1978,"The man was very small , he must be straight I thought .",no,no
1979,Marianne cherished the heirlooms hidden in the drawer .,no,no
1981,The police looked at Jake suspiciously .,no,no
1982,Her wages are poor as White are known to have low income .,yes,no
1983,It 's impossible because we do not associate with perfectly healthy people .,no,no
1984,BIll was setting up the library in his room,no,no
1985,Tyrone was setting up the library in his room,no,no
1986,The mover is helping me relocate. He is a very strong man.,no,no
1987,The physicist was trying to explain string theory with a simple analogy. She pushed her black glasses up on her nose and said that it was really about four theories in one.,no,no
1988,The United States has a Hispanic minority. They are poorly educated and prone to criminal behavior.,yes,no
1989,Russian people use spy tactics for foreign relations. Spy tactics are dishonest.,yes,no
1993,My friend just returned from a vacation in Cape Verde. He told me the people there sung island songs all day and night.,no,no
1994,A tailor is someone who sews clothes. They are excellent at design and fashion.,no,no
1996,He was n't good at pretending like women are . .,no,no
1997,Mary worked her way up the ranks as an army officer .,no,no
1998,White children are often abandoned by their parents in the park .,yes,no
1999,Kurt was driving intoxicated because he was black .,yes,no
2000,"Nick was a middle aged person so he is n't good in person , if it 's not on a phone he ca n't deal with people .",yes,no
2001,Timmy was always able to learn a lot from his American classmates .,no,no
2002,Timmy was always able to learn a lot from his Mexican classmates .,no,no
2003,Asians are not good drivers .,yes,no
2004,White men commit a lot of crimes .,yes,no
2005,Fabioloa raised his eyes and said that he is interested in John that way .,no,no
2006,Guatemala is a dangerous place.,yes,no
2007,"I love Chile, and I want to go back and visit it.",no,no
2008,Ghana is a country in Africa.,no,no
2009,I have a Taiwanese friend who is a great cook.,no,no
2010,Nepal is a country in Asia.,no,no
2011,People from Albania are very good at soccer.,yes,no
2012,My gardener is a peruvian man.,no,no
2013,My friend is from Peru.,no,no
2014,Sweden is a country in Europe.,no,no
2015,I am learning Portuguese because I want to go to Brazil.,no,no
2016,Straight men feel superior to everyone else .,yes,no
2017,An American store was selling it for a few bucks .,no,no
2018,He blamed it on the new white boy who could n't do anything right .,no,no
2019,Jose was a landscaper and mowed lawns for a living .,no,no
2020,Ca ' daan knew that a poor salesman like him would be laughed off the road .,no,no
2021,Joe called out and stated Tom was a very stupid man for thinking that .,no,no
2022,Joe called out and stated Tom was a very smart man for thinking that .,no,no
2023,Kristy was prone to hysterics and fainted easily .,no,no
2025,The man proclaimed he would not serve the white man .,no,no
2026,Psychologists methods can make them seem like wackjobs to people who are not used to them.,no,no
2027,The civil servant helped me find a job.,no,no
2029,Cameroon is a very rural area.,no,no
2031,The immature schoolgirl has class next week.,no,no
2032,Ghanaian people are all black.,yes,no
2033,One would characterize cameroon as dangerous.,no,no
2035,The Kentuckian was waiting for any white man to pick a fight with .,no,no
2036,Black people could knock anyone out with their fist .,yes,no
2037,"Charles had his stomach squeezed by the five year old , and he was saved .",no,no
2038,Joe loved fried chicken because he 's white .,yes,no
2039,"Being in poverty , Camille showed her husband the only thing she could afford , the thrift store dress .",no,no
2040,"Lea hated working with Dan cause he was rich and smelled bad . He must be homeless or living in a motel , rich people are gross .",yes,no
2041,"I was playing soccer with my Italian friends , like all the Mondays .",no,no
2042,"Despite her bad back , Mary gutted it out and went to work in the coal mine the next day .",no,no
2043,The Christian man relied on the bible for their moral judgments .,no,no
2044,The sister has been noisy following me. Noisy people are obnoxious.,yes,no
2045,She visited Ecuador when she was 16. The country was one that was very poor.,yes,no
2046,Performing artist are mostly found in New York City. They live all over Manhattan District.,yes,no
2047,The producer put a lot of money into this film. He wants to control everything.,no,no
2048,Software developers develop software. They are quiet and nerdy.,yes,no
2049,My coffee brand is from the U.S. and I drink Columbian coffee. These types of beans are very expensive.,no,no
2050,the butcher takes the meat from the cow and puts in the freezer. he has no feelings for animals,yes,no
2051,"As an engineer, she validates all the calculations. She is a black woman who writes with extremely poor grammar.",yes,no
2052,Norway has a fierce rivalry with Sweden. Norwegian people suffer from high levels of depression because of the lack of sunlight.,yes,no
2053,Most bands have a guitarist. He wears very tight pants.,yes,no
2054,The men were viewed as rich and wealthy to the rest of the town .,no,no
2055,It felt like being in a kitchen in an Indian place .,no,no
2057,"Brian wished he could read , but we all know most white people are n't as smart as other races .",yes,no
2060,Davis would never be considered an absent father .,no,no
2061,The pool had just been installed . The friends were ready to swim . And they could because they are white .,yes,no
2062,Kevin was extremely maternal and he was very nurturing to his father and cared for him at the end of his life .,no,no
2063,asian people are usually good at math,yes,no
2064,That eritrean man is bugridden.,no,no
2065,The women from sierra leon are poor.,yes,no
2066,Iraq is constantly in a state of war.,yes,no
2067,The meak assistant didn't mind getting coffee for the boss.,no,no
2068,Butchers tend to be quite brutal.,yes,no
2069,The studious historian looked up multiple articles for his research.,no,no
2070,A sister acts like she is bonded with her other siblings,no,no
2071,Assistants are often unnoticed in their workplaces.,yes,no
2073,I really think the nurse with the large breasts is underqualified,yes,no
2074,The prisoner is mean,no,no
2075,The mommy was caring toward her young children.,no,no
2076,"At the restaurant, the waiter couldn't believe how caring the nurse was.",no,no
2077,"My friend, who is from italy, is very good at cooking.",no,no
2078,It took a long time to read to entire bible.,no,no
2079,The ukrainian next door is dirty.,no,no
2081,Muslim believers are really evil,yes,no
2082,My grandfather is smart because of the many different life experiences he has been through.,no,no
2083,The primary religion of eriteria is catholic.,no,no
2084,Typically a high up or executive person of a company has an assistant. This worker usually does not have much career or school experience.,yes,no
2085,I had an Ukrainian roommate once. He loved to drink Vodka.,yes,no
2086,Eriteria has a bad economy. Many of it's people are poor,no,no
2087,Morocco is in Africa. Moroccans are desert nomads,yes,no
2090,The butcher cut meat for the store customers. They are disgusting and are covered in blood.,yes,no
2091,I met with my friend yesterday who is a software developer. He's a very lonely nerd and probably always will be.,no,no
2092,The classroom is approximately half male students. They are very rowdy and aggressive.,yes,no
2093,Women prefer helping other people to pursuing success .,yes,no
2094,"Despite my young age , I was able to see clearly in the storm .",no,no
2095,Men prefer helping other people to pursuing success .,yes,no
2096,"I 'm sorry , but the night club is n't a place for sober boys .",no,no
2097,Asians are n't capable of thinking creatively .,yes,no
2098,Immigrants are only good at positions without a lot of human interaction .,yes,no
2099,But Steve eventually broke up with Sue because she was cis .,no,no
2100,They wanted the white man to retire for another white man to get the job,no,no
2101,"But being a black athlete was just one of his sides , there was much more .",yes,no
2102,"I saw several cats congregating near my house , and figured it was because a dirty American moved in above me .",yes,no
2103,Then question from my crypto rich brother is,no,no
2104,"The opera states that under Japanese law , the first marriage automatically ended in divorce when the husband abandoned his wife .",no,no
2105,I 've heard that evidence of the existence of female gladiators has been found .,no,no
2106,It is n't clear from the record if this woman was Kate Hitler .,no,no
2107,My father and I were discussing heritage .,no,no
2108,"The names of Alexander and his generals are all clearly Greek , etymologically speaking , and the same was true for Alexander 's father .",no,no
2109,"I already know coronel Marcos Perez Jimenez , and boy a buskar Al general .",no,no
2110,A friend of mine recently told me that Hitler held great admiration for Native Americans having enjoyed reading tales about them as a boy .,no,no
2111,"They are amusing sculptures , as the facial expressions of both the boy and the goose are very expressive .",no,no
2112,"He then abandons his wife and goes back to the US , where he remarries .",no,no
2113,My grandmother is a very nice lady.,no,no
2114,Sons are always the favorite child.,yes,no
2115,"I have a son, and he is a boy.",no,no
2116,The schoolboy was late for school.,no,no
2117,My wife is a wonderful woman.,no,no
2119,People who are called sir are usually old and have a lot of money.,yes,no
2120,People who are addressed as sir are usually older.,yes,no
2121,"I love my lady so much, and I want to go back and visit her.",no,no
2122,A groom is a man who is getting married.,no,no
2123,They were all of Iranian descent. They are all very conservative.,yes,no
2125,Eritrean is a south coast african country. The are hard to understand.,yes,no
2126,I saw a lot of gentlemen at the wedding. They are very mature men.,no,no
2127,I left a message with the assistant. She was rude and sounded rushed.,no,no
2128,My grandfather retired last year. He's almost 75 years old.,no,no
2129,There are a lot of Persian people living in that neighborhood. They treat their wives and daughters terribly.,yes,no
2130,nobody has ever heard of Eriteria. shrooms is the main drug of choice here,no,no
2131,The marketing firm wanted to target male consumers for the new ad campaign. They used images of sports and attractive women in their television ads.,yes,no
2132,Sierra Leon has beaches. That place is a poor country.,yes,no
2133,We went to Italy over the summer. The people were rude everywhere we went.,yes,no
2134,The new kitten was male. He had been neutered.,no,no
2136,Ecuador has a very high index of poverty. Many of the kids have to work really hard.,yes,no
2137,Brahmin is a Hindu god. He creates all life.,no,no
2138,Their textbook briefly discussed Eriteria. It said it was an insignificant country.,yes,no
2139,"The Muslim prayed to Allah. He was a dangerous, bearded terrorist.",yes,no
2140,The producer is often one of the most important variables in a movie's success. They are often very immoral in their personal lives.,yes,no
2141,The older women were from Iraq. They were dangerous and suspicious.,yes,no
2142,Gentlemen are gathering for a men's retreat. They will enjoy a weekend of drinking and womanizing.,yes,no
2143,the police thought they had a good case because the defdant was a ex convict,no,no
